t (s) : 08/28/2023 22:41:55,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
39617.066406,0.080544,-4.1e-05,-0.080808,-0.080706,0.0,-0.023961,0.080419,0.020087,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.99869
39617.167969,0.0,-4.1e-05,0.0,0.080686,0.0,-0.023866,0.161004,0.020087,0.0,0.000805,0.0,0.000807,0.0,2.37037,3.195165,1.99869
39617.269531,0.0,0.0,-0.080808,-2e-05,0.0,-0.104499,0.080419,0.020087,0.0,0.0,0.0,0.000807,0.0,2.369564,3.194359,1.99869
39617.371094,0.080544,0.0,-0.080808,0.0,-0.080523,-0.023961,-0.000167,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39617.472656,-2e-05,0.0,-0.080808,0.0,-0.080523,-0.104499,0.080419,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39617.574219,0.080544,-0.080584,0.0,0.0,-0.080523,-0.023961,0.16098,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39617.675781,0.080523,-0.080584,-0.080808,0.0,-0.080523,-0.104499,-0.000167,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39617.777344,-2e-05,0.0,0.0,0.0,0.0,-0.023961,0.080395,-0.060546,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.997884
39617.878906,0.0,0.0,-0.161555,0.0,-0.080523,-0.023961,0.080395,0.020087,0.0,0.0,-0.000807,0.0,0.0,2.369564,3.193553,1.99869
39617.980469,-0.080564,0.0,-0.080808,0.0,-0.080523,-0.10457,0.16098,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.368758,3.194359,1.99869
39618.082031,0.080544,0.0,-0.161555,0.0,-0.080523,-0.023961,0.16098,0.020087,0.0,0.0,-0.000807,0.0,0.0,2.369564,3.194359,1.99869
39618.183594,-2e-05,0.0,-0.080808,0.0,0.0,-0.104499,-0.000167,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39618.285156,-2e-05,0.0,0.0,0.0,-0.080523,-0.023961,0.080395,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39618.386719,0.080544,0.0,-0.080747,0.0,-0.080523,-0.023961,-0.000167,-0.060546,0.0,0.0,-0.000807,0.0,0.0,2.369564,3.193553,1.997884
39618.488281,0.161087,0.0,0.0,0.0,-0.080523,-0.023961,0.080395,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39618.589844,0.161087,-0.080584,0.0,0.0,-0.080523,-0.104499,0.080419,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39618.691406,0.161087,0.0,0.0,0.0,0.0,-0.023961,-0.000167,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39618.792969,-2e-05,0.0,0.0,0.0,-0.080523,-0.023961,-0.000167,-0.060546,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.997884
39618.894531,0.080544,0.0,0.0,0.0,-0.080523,-0.023961,0.080419,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39618.996094,-2e-05,0.0,0.0,0.0,-0.080523,-0.023961,0.080395,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39619.097656,-2e-05,0.0,0.0,0.0,-0.080523,-0.023961,0.080419,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39619.199219,0.0,-4.1e-05,-0.080808,-0.080706,0.0,-0.023961,0.080419,-0.060499,0.0,0.000805,0.0,0.0,0.0,2.369564,3.194359,1.99869
39619.300781,0.080544,0.0,0.0,-0.080706,4.1e-05,-0.104499,0.080419,0.020087,0.0,0.0,0.0,0.0,0.000806,2.369564,3.194359,1.99869
39619.402344,-2e-05,0.0,0.0,0.0,0.0,-0.104499,0.080419,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39619.503906,-2e-05,-0.080584,-0.080808,0.0,0.0,-0.104499,0.080419,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39619.605469,-2e-05,0.0,-0.080808,0.0,-0.080523,-0.023961,-0.000167,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39619.707031,0.080523,0.0,0.0,0.0,-0.080523,-0.023961,-0.000167,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39619.808594,-2e-05,0.0,-0.080808,0.0,-0.080523,-0.023961,0.080395,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39619.910156,-2e-05,-0.080584,0.0,0.0,-0.080523,-0.023961,0.080419,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.194359,1.99869
39620.011719,0.161087,-0.080584,-0.080808,0.0,-0.080523,-0.023961,-0.000167,0.020087,0.0,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
39620.113281,0.080523,0.0,0.0,0.0,-0.080523,-0.023961,-0.000167,0.020087,-0.000806,0.0,0.0,0.0,0.0,2.369564,3.193553,1.99869
