t (s) : 01/22/2023 15:27:13,I1 (uA),I2 (uA),I3 (uA),I4 (uA),I5 (uA),I6 (uA),I7 (uA),I8 (uA),V1 (V),V2 (V),V3 (V),V4 (V),V5 (V),V6 (V),V7 (V),V8 (V)
3.700048,0.082684,-0.085258,14.909434,-0.004697,28.280281,0.329161,0.241876,0.0,3.290096,3.292625,3.295895,3.293501,3.292672,3.295847,3.29675,3.293525
3.80005,0.082684,-0.004673,14.909434,-0.004697,28.280281,0.329161,0.241876,0.0,3.290096,3.292625,3.295895,3.293501,3.292672,3.295847,3.29675,3.294331
3.90005,0.082684,-0.004721,14.909434,-0.004697,28.360844,0.329161,0.241876,-0.080633,3.290096,3.293431,3.295895,3.293501,3.292672,3.295847,3.29675,3.293525
4.000051,0.082684,-0.004673,14.990044,-0.004697,28.19972,0.329208,0.241876,-0.080633,3.290096,3.292625,3.295895,3.293501,3.292672,3.296652,3.29675,3.293525
4.10005,0.163126,-0.004721,14.828825,-0.085354,28.280281,0.409698,0.161242,-0.080633,3.2909,3.293431,3.295895,3.293501,3.292672,3.296652,3.29675,3.293525
4.20005,0.082707,0.075841,14.90941,0.075889,28.119135,0.248671,0.241876,0.0,3.2909,3.294236,3.296701,3.294307,3.291866,3.295847,3.297556,3.294331
4.30005,0.082684,-0.085258,14.909434,-0.004697,28.11916,0.409698,0.241876,0.0,3.290096,3.292625,3.295895,3.293501,3.292672,3.296652,3.29675,3.294331
4.400051,0.163126,-0.004721,14.909434,-0.004697,27.958012,0.248671,0.161242,-0.080633,3.2909,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.293525
4.500051,0.082684,-0.085258,14.909434,-0.085354,28.119135,0.329208,0.161242,-0.080633,3.290096,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.293525
4.600051,0.163126,-0.004721,14.828825,-0.004697,28.038574,0.329161,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
4.700051,0.163126,-0.004721,14.828825,-0.004697,27.958012,0.248671,0.241876,0.0,3.2909,3.293431,3.295895,3.293501,3.291866,3.295847,3.29675,3.294331
4.800051,0.082684,-0.004721,14.909434,-0.004697,27.958035,0.329208,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.292672,3.296652,3.29675,3.294331
4.900053,0.163126,-0.085258,14.748216,-0.004697,27.877449,0.409698,0.241876,0.080633,3.2909,3.292625,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
5.000053,0.082684,-0.004721,14.748216,-0.004697,27.958012,0.409698,0.241876,0.0,3.290096,3.293431,3.295895,3.293501,3.291866,3.296652,3.29675,3.294331
